Nummer;Suchwort;Satzart;Kategorie;SymbolNummer;KategorieLangtext;ProgrammName;FixedFont;Format;Maske;ZielTabelle;ZielSatzart;Passwortschutz;Position;Geschützt;MeineAuswahl;MandantAnlage;UserAnlage;DatumAnlage;MandantGeändert;UserGeändert;DatumÄnderung;Farbe;KBTextFarbig;Befehl;DateiÄnderbar;Gruppe;FreigabeStatus;GruppeEmpfang;Basisdokumentation;CodeSatzart;FreigabeListeVerwenden;HintergrundFarbe;FreigabeListeStatus;ScheinBezug;ScheinBezugAenderbar
1;Rezept;2000;R;0;Rezept-Formular;;0;Langtext1()  Menge1(, Anz.: )  Dosierung1( Dos.: )  Langtext3(, )  Menge3(, Anz.: )  Dosierung3( Dos.: )  Langtext5(, )  Menge5(, Anz.: )  Dosierung5( Dos.: );Langtext1 Menge1 Dosierung1 Langtext3 Menge3 Dosierung3 Langtext5 Menge5 Dosierung5;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
2;Ueberweisung;2100;UB;0;Überweisungs-Formular;;0;Kurativ(Kur. )  Präventiv(Präv. )  SonstHilfen(Sonst. )  Belegarzt(Beleg. )  Auftragsleistung(, Auftrag )  Konsiliar(, Konsil. )  Mitbehandlung(, Mit. )  Überweisung(, an: )  Diagnose(, wg.: )  Unfall( U )  Versorgungsleiden( V )  AUBescheinigt( AU-bis: );Kurativ Präventiv SonstHilfen Belegarzt Auftragsleistung Konsiliar Mitbehandlung Überweisung Diagnose Versorgungsleiden Unfall AUBescheinigt;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
3;AU;2200;AU;0;AU-Formular;;0;Erstbescheinigung(E  )  Folgebescheinigung(F  )  Arbeitsunfähigseit( AU-seit: )  Arbeitsunfähigbis( AU-bis: )  Arbeitsunfähigfest( festgestellt am: )  Diagnose( Diagnose: )  Maßnahmen( Maßnahmen: )  Unfall( U )  Versorgungsleiden( V )  Arbeitsunfall( A )  Duchgangsarzt( D );Erstbescheinigung Folgebescheinigung Arbeitsunfähigseit Arbeitsunfähigbis Arbeitsunfähigfest Diagnose Unfall Versorgungsleiden Arbeitsunfall Durchgangsarzt Maßnahmen;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;65535;0;;0;6;0;0;0;;0;0;-1;1;0
4;ADiagnose;3000;AD;0;Akutdiagnose;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;65280;0;;0;4;0;0;0;;0;0;-1;1;0
5;DDiagnose;3100;DD;0;Dauerdiagnose;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;65280;0;;0;4;0;0;0;;0;0;-1;1;0
6;KHEinweisung;2300;KH;0;Krankenhauseinweisungs-Formular;;0;Diagnose( Diagnose:  )  Unfall( U )  Versorgungsleiden( V)  Belegarzt( B )  Notfall( N )  UntersuchungsErgebnis( Untersuchungsergebnis: )  Maßnahmen( Maßnahme: )  Hinweis( Hinweis: )  Befund( Befund: )  Krankenhaus( an: );Krankenhaus Diagnose Befund Hinweis Maßnahmen UntersuchungsErgebnis Unfall Versorgungsleiden Belegarzt Notfall;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
7;Formularkopf;2400;FF;0;Formularkopf;;0;Beschreibung(Formularkopf: )  KassenName(, Schein:  )  Quartal(, Quartal: );Beschreibung KassenName Quartal;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
8;Krankengeld;2500;KG;0;Krankengeldformular;;0;;;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
9;BGBericht;2600;BG;0;BG-Bericht;;0;KurzBezeichnung()  Kurzinfo();KurzBezeichnung Kurzinfo;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
11;Entbindungsdatum;15;NFENTB;0;voraussichtliches Entbindungsdatum;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
